config_num,learning_rate,dropout,hidden_size,weight_decay,val_kt_mean,val_kt_std,time_seconds
1,0.001,0.2,10,0.0,0.859582,0.010672,222.7
2,0.001,0.2,10,0.01,0.822909,0.012614,184.9
3,0.001,0.2,20,0.0,0.890987,0.009376,290.4
4,0.001,0.2,20,0.01,0.882393,0.008696,243.8
5,0.001,0.2,40,0.0,0.900203,0.006823,432.1
6,0.001,0.2,40,0.01,0.889984,0.007741,468.9
7,0.001,0.4,10,0.0,0.805498,0.012981,255.4
8,0.001,0.4,10,0.01,0.814684,0.011072,226.3
9,0.001,0.4,20,0.0,0.839423,0.009294,276.1
10,0.001,0.4,20,0.01,0.868536,0.009836,285.1
11,0.001,0.4,40,0.0,0.873822,0.007163,424.1
12,0.001,0.4,40,0.01,0.904910,0.006031,434.7
13,0.001,0.6,10,0.0,0.756813,0.013395,211.6
14,0.001,0.6,10,0.01,0.729002,0.020145,219.7
15,0.001,0.6,20,0.0,0.790795,0.012014,270.1
16,0.001,0.6,20,0.01,0.826972,0.013501,274.8
17,0.001,0.6,40,0.0,0.827556,0.011525,405.1
18,0.001,0.6,40,0.01,0.880234,0.007878,390.1
19,0.0001,0.2,10,0.0,0.569417,0.028736,198.5
20,0.0001,0.2,10,0.01,0.571308,0.031060,197.2
21,0.0001,0.2,20,0.0,0.665360,0.025768,255.3
22,0.0001,0.2,20,0.01,0.686185,0.024403,245.9
23,0.0001,0.2,40,0.0,0.790243,0.017180,399.8
24,0.0001,0.2,40,0.01,0.767202,0.014963,410.5
25,0.0001,0.4,10,0.0,0.333504,0.036245,195.0
26,0.0001,0.4,10,0.01,0.413141,0.038402,197.4
27,0.0001,0.4,20,0.0,0.645957,0.026577,248.8
28,0.0001,0.4,20,0.01,0.535158,0.031430,256.1
29,0.0001,0.4,40,0.0,0.694015,0.020469,397.7
30,0.0001,0.4,40,0.01,0.736800,0.020048,383.1
31,0.0001,0.6,10,0.0,0.236371,0.044497,193.9
32,0.0001,0.6,10,0.01,0.224419,0.038741,192.3
33,0.0001,0.6,20,0.0,0.472761,0.038363,243.2
34,0.0001,0.6,20,0.01,0.447375,0.036452,231.0
35,0.0001,0.6,40,0.0,0.687003,0.024150,354.8
36,0.0001,0.6,40,0.01,0.695145,0.026090,365.6
37,5e-05,0.2,10,0.0,0.438855,0.039173,194.4
38,5e-05,0.2,10,0.01,0.432511,0.040161,162.8
39,5e-05,0.2,20,0.0,0.617594,0.029289,215.1
40,5e-05,0.2,20,0.01,0.635437,0.025183,212.6
41,5e-05,0.2,40,0.0,0.729622,0.021428,313.7
42,5e-05,0.2,40,0.01,0.704867,0.019661,308.1
43,5e-05,0.4,10,0.0,0.216002,0.043211,168.0
44,5e-05,0.4,10,0.01,0.267964,0.035082,202.8
45,5e-05,0.4,20,0.0,0.488335,0.037009,257.0
46,5e-05,0.4,20,0.01,0.442184,0.040311,250.5
47,5e-05,0.4,40,0.0,0.632987,0.023910,392.3
48,5e-05,0.4,40,0.01,0.611028,0.026607,410.8
49,5e-05,0.6,10,0.0,0.086050,0.045803,213.1
50,5e-05,0.6,10,0.01,0.125303,0.043830,208.1
51,5e-05,0.6,20,0.0,0.293826,0.037955,269.2
52,5e-05,0.6,20,0.01,0.257804,0.042308,271.1
53,5e-05,0.6,40,0.0,0.545528,0.031795,414.5
54,5e-05,0.6,40,0.01,0.551891,0.028677,403.7
